Time,BKK_P.VOLT
,Average
,
,V
05.12.2025 09:43:37.789,  0.0
05.12.2025 09:43:41.880,  0.0
05.12.2025 09:43:45.880,  0.0
05.12.2025 09:43:50.014,  0.0
05.12.2025 09:43:54.014,  0.0
05.12.2025 09:43:57.834,  0.0
05.12.2025 09:44:01.934,  0.0
05.12.2025 09:44:05.894,  0.0
05.12.2025 09:44:10.004,  0.0
05.12.2025 09:44:13.884,  0.0
05.12.2025 09:44:18.014,  0.0
05.12.2025 09:44:21.924,  0.0
05.12.2025 09:44:25.815,  0.0
05.12.2025 09:44:29.924,  0.0
05.12.2025 09:44:33.924,  0.0
05.12.2025 09:44:37.934,  0.0
05.12.2025 09:44:41.934,  0.0
05.12.2025 09:44:45.934,  0.0
05.12.2025 09:44:49.824,  0.0
05.12.2025 09:44:54.824,  3.1
05.12.2025 09:44:58.934,  3.1
05.12.2025 09:45:02.934,  3.1
05.12.2025 09:45:06.924,  3.1
05.12.2025 09:45:10.924,  3.1
05.12.2025 09:45:14.824,  3.1
05.12.2025 09:45:18.814,  3.1
05.12.2025 09:45:22.824,  3.1
05.12.2025 09:45:26.814,  3.1
05.12.2025 09:45:30.814,  3.1
05.12.2025 09:45:34.924,  3.1
05.12.2025 09:45:38.924,  3.1
05.12.2025 09:45:42.924,  3.1
05.12.2025 09:45:46.864,  3.1
05.12.2025 09:45:50.834,  3.1
05.12.2025 09:45:54.824,  3.1
05.12.2025 09:45:58.924,  3.1
05.12.2025 09:46:02.824,  3.1
05.12.2025 09:46:06.824,  3.1
05.12.2025 09:46:10.924,  3.1
05.12.2025 09:46:14.824,  3.1
05.12.2025 09:46:18.924,  3.1
05.12.2025 09:46:22.835,  3.1
05.12.2025 09:46:26.824,  3.1
05.12.2025 09:46:30.834,  3.1
05.12.2025 09:46:34.824,  3.1
05.12.2025 09:46:38.874,  3.1
05.12.2025 09:46:42.834,  3.1
05.12.2025 09:46:46.824,  3.1
05.12.2025 09:46:50.834,  3.1
05.12.2025 09:46:54.824,  3.1
05.12.2025 09:46:58.834,  3.1
05.12.2025 09:47:02.824,  3.1
05.12.2025 09:47:06.924,  3.1
05.12.2025 09:47:10.924,  3.1
05.12.2025 09:47:14.925,  3.1
05.12.2025 09:47:18.924,  3.1
05.12.2025 09:47:22.924,  3.1
05.12.2025 09:47:26.924,  3.1
05.12.2025 09:47:30.924,  3.1
05.12.2025 09:47:34.924,  3.1
05.12.2025 09:47:38.924,  3.1
05.12.2025 09:47:42.834,  3.1
05.12.2025 09:47:46.924,  3.1
05.12.2025 09:47:50.924,  3.1
05.12.2025 09:47:54.924,  3.1
05.12.2025 09:47:58.824,  3.1
05.12.2025 09:48:02.835,  3.1
05.12.2025 09:48:06.824,  3.1
05.12.2025 09:48:10.834,  3.1
05.12.2025 09:48:14.925,  3.1
05.12.2025 09:48:18.924,  3.1
05.12.2025 09:48:22.824,  3.1
05.12.2025 09:48:26.914,  3.1
05.12.2025 09:48:30.914,  3.1
05.12.2025 09:48:34.924,  3.1
05.12.2025 09:48:38.924,  3.1
05.12.2025 09:48:42.914,  3.1
05.12.2025 09:48:46.942,  3.1
05.12.2025 09:48:50.853,  3.1
05.12.2025 09:48:54.852,  3.1
05.12.2025 09:48:58.842,  3.1
05.12.2025 09:49:02.852,  3.1
05.12.2025 09:49:06.852,  3.1
05.12.2025 09:49:11.052,  3.1
05.12.2025 09:49:14.972,  3.1
05.12.2025 09:49:18.972,  3.1
05.12.2025 09:49:22.882,  3.1
05.12.2025 09:49:26.883,  3.1
05.12.2025 09:49:30.892,  3.1
05.12.2025 09:49:34.892,  3.1
05.12.2025 09:49:38.882,  3.1
05.12.2025 09:49:42.972,  3.1
05.12.2025 09:49:46.972,  3.1
05.12.2025 09:49:50.972,  3.1
05.12.2025 09:49:54.893,  3.1
05.12.2025 09:49:58.902,  3.1
05.12.2025 09:50:02.892,  3.1
05.12.2025 09:50:06.902,  3.1
05.12.2025 09:50:11.012,  3.1
05.12.2025 09:50:14.972,  3.1
05.12.2025 09:50:19.052,  3.1
05.12.2025 09:50:22.902,  3.1
05.12.2025 09:50:26.902,  3.1
05.12.2025 09:50:31.012,  3.1
05.12.2025 09:50:34.902,  3.1
05.12.2025 09:50:38.912,  3.1
05.12.2025 09:50:43.012,  3.1
05.12.2025 09:50:47.012,  3.1
05.12.2025 09:50:51.012,  3.1
05.12.2025 09:50:54.912,  3.1
05.12.2025 09:50:59.012,  3.1
05.12.2025 09:51:02.923,  0.2
05.12.2025 09:51:06.922,  0.2
05.12.2025 09:51:10.912,  0.1
05.12.2025 09:51:14.922,  0.1
05.12.2025 09:51:19.012,  0.1
05.12.2025 09:51:22.912,  0.1
05.12.2025 09:51:26.922,  0.0
05.12.2025 09:51:30.912,  0.0
05.12.2025 09:51:34.912,  0.0
05.12.2025 09:51:38.922,  0.0
05.12.2025 09:51:43.012,  0.0
05.12.2025 09:51:47.012,  0.0
05.12.2025 09:51:50.912,  0.0
05.12.2025 09:51:54.912,  0.0
05.12.2025 09:51:58.912,  0.0
05.12.2025 09:52:02.912,  0.0
05.12.2025 09:52:07.012,  0.0
05.12.2025 09:52:10.912,  0.0
05.12.2025 09:52:14.922,  0.0
05.12.2025 09:52:19.052,  0.0
05.12.2025 09:52:22.932,  0.0
05.12.2025 09:52:27.052,  0.0
05.12.2025 09:52:31.002,  0.0
05.12.2025 09:52:35.012,  0.0
05.12.2025 09:52:39.012,  0.0
